,Campaign,Ad_group,Keyword_type,Search_keyword,Clicks,Impressions,Cost,Leads,Prospects,CTR,CPC,Weeks,Region
332,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,1,0,0,0,0,0,12-04-2021,
333,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,12-04-2021,Canada
334,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,4,199,29.65,0,1,2.010050251,7.4125,19-04-2021,
335,EK_Generic_Swimming_Singapore,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,5,12,3.98,0,0,41.66666667,0.796,19-04-2021,Singapore
336,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Booking_Software_Broad,Broad,pilates studio booking software,2,47,15.85,0,0,4.255319149,7.925,19-04-2021,
337,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,1,1,1.93,0,0,100,1.93,19-04-2021,
338,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,1,8,9.67,0,0,12.5,9.67,19-04-2021,
339,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,1,10,10.08,0,0,10,10.08,19-04-2021,
340,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,1,2,3.12,1,0,50,3.12,19-04-2021,
341,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,1,2,4.25,0,0,50,4.25,19-04-2021,
342,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Phrase,Phrase,yoga studio app,1,10,3.42,0,0,10,3.42,19-04-2021,
343,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Exact,Exact,yoga studio app,1,9,3.32,0,0,11.11111111,3.32,19-04-2021,
344,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,1,11,2.11,0,0,9.090909091,2.11,19-04-2021,
345,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_Software_Exact,Exact,yoga studio software,0,1,0,0,0,0,0,19-04-2021,
346,EK_Generic_Swimming,Pool_Reservation_Software_Open_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,19-04-2021,
347,EK_Generic_Tri-Tok_Pilates,Pilates_Studio_Software_Exact,Exact,pilates studio software,0,0,0,0,0,0,0,19-04-2021,
348,EK_Generic_Tri-Tok_Pilates,Pilates_Studio_Software_Phrase,Phrase,pilates studio software,0,0,0,0,0,0,0,19-04-2021,
349,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Management_Software_Exact,Exact,pilates studio management software,0,0,0,0,0,0,0,19-04-2021,
350,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,2,0,0,0,0,0,19-04-2021,
351,EK_Generic_Swimming_UK,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,0,1,0,0,0,0,0,19-04-2021,UK
352,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,19-04-2021,UK
353,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,0,0,0,0,0,0,19-04-2021,
